background,justClass,processedRace,processedWeapons
Acolyte,Paladin,Dwarf,Battleaxe|Warhammer|Javelin
Folk Hero,Sorcerer,Human,None
Soldier,Monk,Halfling,Shortsword|Dart|Unarmed Strike
Urchin,Artificer,Warforged,"Light hammer|Handaxe|Crossbow, Light"
Sage,Wizard,Elf,Quarterstaff
Acolyte,Cleric,Dragonborn,Warhammer
Folk Hero,Monk,Goliath,Quarterstaff|Dart|Unarmed Strike
Charlatan,Warlock,Human,None
Acolyte,Cleric,Dwarf,"Mace|Crossbow, Light"
Outlander,Ranger,Human,Shortsword|Longbow
Charlatan,Cleric,Human,Warhammer
Acolyte,Cleric,Dwarf,"Mace|Crossbow, Light"
Charlatan,Rogue,Warforged,Rapier|Shortbow|Dagger
Entertainer,Wizard,Goliath,Quarterstaff
Knight,Fighter,Warforged,Longsword|Lance|Handaxe
Folk Hero,Monk,Dwarf,Light hammer|Dart|Unarmed Strike
Noble,Sorcerer,Elf,"Crossbow, Light|Dagger"
Guild Artisan,Sorcerer,Gnome,Quarterstaff|Dagger
Criminal,Fighter,Half-Elf,"Longsword|Crossbow, Light"
Acolyte,Cleric,Dwarf,"Mace|Crossbow, Light"
Noble,Fighter,Human,"Longbow|Crossbow, Heavy|Shortsword|Crossbow, Light"
Folk Hero,Barbarian,Gnome,"Maul|Crossbow, Light|Javelin"
Noble,Fighter,Tabaxi,"Crossbow, Heavy|Crossbow, Light|Quarterstaff"
Soldier,Rogue,Warforged,Shortsword|Shortsword|Dagger
Urchin,Druid,Human,Scimitar
Folk Hero,Druid,Half-Orc,Scimitar
Urchin,Rogue,Half-Orc,"Rapier|Dagger|Crossbow, hand"
Entertainer,Bard,Tiefling,Rapier|Dagger
Urchin,Rogue,Dragonborn,Dagger|Longsword|Shortbow|Spear|Dagger
Sage,Warlock,Half-Elf,Quarterstaff|Handaxe|Dagger
Guild Artisan,Fighter,Dwarf,Handaxe
Acolyte,Cleric,Aasimar,"Mace|Crossbow, Light"
Noble,Rogue,Human,"Rapier|Dagger|Crossbow, hand"
Soldier,Fighter,Tiefling,"Longbow|Scimitar|Crossbow, hand|Handaxe"
Criminal,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Acolyte,Wizard,Elf,Quarterstaff
Soldier,Paladin,Dragonborn,Greatsword
Urchin,Rogue,Human,Shortsword|Shortbow|Dagger
Outlander,Warlock,Tabaxi,Rapier|Dagger|Dagger
Soldier,Fighter,Warforged,Greatsword|Longbow|Handaxe
Sailor,Cleric,Human,Warhammer|Dagger|Dagger|Maul
Charlatan,Rogue,Tabaxi,Rapier|Shortbow|Dagger
Sage,Wizard,Gnome,Dagger
Acolyte,Warlock,Half-Elf,"Crossbow, Light|Dagger"
Charlatan,Artificer,Half-Elf,"Mace|Javelin|Crossbow, Light"
Folk Hero,Cleric,Gnome,"Mace|Crossbow, Light"
Hermit,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Soldier,Fighter,Dwarf,"Battleaxe|Crossbow, Light"
Guild Artisan,Sorcerer,Human,Dagger|Quarterstaff
Sage,Wizard,Human,Quarterstaff
Criminal,Rogue,Gnome,Rapier|Shortsword
Noble,Cleric,Half-Elf,Mace
Sailor,Ranger,Human,"Crossbow, hand|Shortsword"
Sage,Monk,Elf,Shortsword|Dart|Unarmed Strike|Sickle
Urchin,Rogue,Goblin,Dagger|Net
Acolyte,Cleric,Goblin,Warhammer
Outlander,Druid,Elf,Scimitar
Criminal,Artificer,Warforged,Whip
Acolyte,Paladin,Aasimar,Lance|Javelin|Longsword|Halberd|Greatsword|Maul|Dagger
Criminal,Rogue,Half-Orc,Shortsword|Dagger|Dart|Dagger
Folk Hero,Paladin,Genasi,Morningstar|Morningstar|Spear
Criminal,Bard,Half-Elf,Rapier|Dagger
Folk Hero,Barbarian,Tabaxi,Greataxe|Handaxe|Javelin
Charlatan,Sorcerer,Tiefling,"Crossbow, Light|Dagger|Quarterstaff"
Sage,Wizard,Half-Elf,Quarterstaff
Sage,Wizard,Human,Quarterstaff|Dagger
Hermit,Cleric,Elf,"Mace|Spear|Net|Trident|Crossbow, Light"
Noble,Wizard,Halfling,Sickle
Outlander,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Soldier,Rogue,Dwarf,Greataxe|Longbow|Dagger
Guild Artisan,Bard,Half-Elf,Dagger
Sailor,Wizard,Goliath,Quarterstaff
Sailor,Paladin,Gnome,Javelin
Sailor,Barbarian,Tiefling,Greataxe|Handaxe|Javelin
Sage,Wizard,Goblin,Quarterstaff
Outlander,Ranger,Human,Shortsword|Longbow
Charlatan,Wizard,Genasi,Dagger
Criminal,Rogue,Dwarf,Rapier|Shortbow
Hermit,Cleric,Turtle,"Mace|Crossbow, Light"
Criminal,Warlock,Tiefling,Dagger
Sailor,Fighter,Human,"Rapier|Spear|Crossbow, Light"
Acolyte,Cleric,Warforged,"Mace|Crossbow, Light"
Criminal,Ranger,Tabaxi,Longbow|Rapier
Outlander,Druid,Firbolg,Quarterstaff|Scimitar
Noble,Fighter,Human,Longbow|Rapier|Handaxe
Soldier,Fighter,Half-Orc,"Warhammer|Crossbow, Light"
Spy,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Entertainer,Bard,Half-Elf,Dagger|Longsword
Outlander,Fighter,Half-Orc,Longbow|Flail|Handaxe
Criminal,Ranger,Elf,Shortsword|Longbow
Sage,Wizard,Human,Dagger
Hermit,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Sage,Wizard,Gnome,Quarterstaff
Outlander,Sorcerer,Gnome,"Crossbow, Light|Dagger"
Outlander,Ranger,Firbolg,Club|Spear
Hermit,Druid,Elf,Dagger|Longbow|Longsword
Outlander,Fighter,Half-Orc,"Longsword|Crossbow, Light"
Sailor,Sorcerer,Tiefling,Sickle|Dagger
Sailor,Fighter,Half-Elf,Longbow|Longsword|Trident
Criminal,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Sage,Wizard,Human,Quarterstaff
Folk Hero,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Soldier,Fighter,Dwarf,Greataxe|Shortsword|Handaxe
Outlander,Ranger,Elf,Shortsword|Longbow
Criminal,Rogue,Human,Shortsword|Shortbow|Dagger
Acolyte,Cleric,Dragonborn,"Mace|Crossbow, Light"
Entertainer,Bard,Half-Elf,"Rapier|Dagger|Crossbow, hand"
Criminal,Rogue,Tabaxi,Shortbow|Dagger|Shortsword
Soldier,Warlock,Aasimar,Greatsword|Longsword|Shortsword|Longbow
Hermit,Cleric,Elf,"Mace|Crossbow, Light"
Outlander,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Hermit,Druid,Dwarf,Scimitar|Quarterstaff|Battleaxe
Soldier,Paladin,Aasimar,Warhammer|Javelin
Noble,Warlock,Tiefling,Dagger|Dagger
Sailor,Barbarian,Human,Flail|Handaxe|Spear
Charlatan,Rogue,Halfling,Shortsword|Shortbow|Dagger
Acolyte,Warlock,Aasimar,Longsword
Urchin,Warlock,Half-Elf,"Crossbow, Light|Dagger"
Hermit,Druid,Tiefling,Scimitar
Charlatan,Sorcerer,Gnome,Sling|Dagger
Sailor,Rogue,Turtle,Rapier|Rapier|Shortbow|Dagger
Urchin,Rogue,Tiefling,Rapier|Shortbow|Dagger
Soldier,Fighter,Human,"Greatsword|Greatsword|Crossbow, Light"
Noble,Sorcerer,Aasimar,"Crossbow, Light|Dagger"
Acolyte,Cleric,Elf,Mace|Quarterstaff|Longbow
Acolyte,Cleric,Elf,"Mace|Crossbow, Light"
Criminal,Monk,Human,Shortsword|Dart|Unarmed Strike
Noble,Paladin,Human,"Longsword|Handaxe|Crossbow, Heavy|Crossbow, hand"
Sailor,Fighter,Custom,Dagger
Sage,Wizard,Human,Quarterstaff|Dagger
Criminal,Sorcerer,Human,Dagger
Criminal,Rogue,Tiefling,"Longsword|Dagger|Crossbow, hand"
Criminal,Barbarian,Dwarf,Greataxe|Handaxe|Javelin
Hermit,Warlock,Dwarf,Dagger
Hermit,Rogue,Tabaxi,Rapier|Shortbow|Dagger|Dagger
Outlander,Cleric,Turtle,Mace|Quarterstaff
Folk Hero,Barbarian,Dwarf,Greataxe|Handaxe|Javelin
Soldier,Barbarian,Aasimar,Greataxe|Javelin
Outlander,Cleric,Dwarf,"Mace|Mace|Crossbow, Light"
Outlander,Druid,Elf,Handaxe|Handaxe|Club|Club|Shortsword
Acolyte,Cleric,Half-Elf,Mace|Spear
Acolyte,Sorcerer,Human,Dagger
Soldier,Barbarian,Human,Greataxe|Javelin|Greatsword
Knight,Fighter,Custom,Longsword|Handaxe|Longbow
Outlander,Paladin,Aasimar,Longsword|Javelin
Criminal,Cleric,Dragonborn,Mace
Knight,Fighter,Human,Longsword|Handaxe|Longbow
Knight,Fighter,Warforged,"Longsword|Longsword|Crossbow, Light"
Soldier,Barbarian,Dragonborn,Greataxe|Handaxe|Javelin
Sage,Wizard,Halfling,Quarterstaff
Noble,Sorcerer,Dragonborn,"Crossbow, Light|Dagger"
Knight,Paladin,Halfling,Lance|Javelin|Greatsword
Outlander,Cleric,Firbolg,Mace|Club
Acolyte,Wizard,Gnome,Dagger
Acolyte,Sorcerer,Human,"Crossbow, Light|Dagger"
Criminal,Ranger,Goblin,Shortsword|Longbow
Hermit,Monk,Gnome,Shortsword|Dart|Unarmed Strike
Acolyte,Cleric,Half-Orc,"Mace|Crossbow, Light"
Urchin,Rogue,Halfling,Rapier|Shortbow|Dagger
Urchin,Rogue,Halfling,Rapier|Shortbow|Dagger
Folk Hero,Ranger,Elf,Shortsword|Longbow
Folk Hero,Sorcerer,Dwarf,Dagger
Noble,Barbarian,Half-Orc,Longsword|Light hammer|Javelin
Noble,Wizard,Human,Dagger
Outlander,Cleric,Human,Mace|Quarterstaff
Outlander,Druid,Human,Scimitar
Entertainer,Cleric,Tiefling,"Mace|Crossbow, Light"
Folk Hero,Paladin,Half-Elf,Greatsword|Longbow|Mace
Charlatan,Warlock,Human,"Crossbow, Light|Dagger"
Criminal,Rogue,Halfling,Rapier|Shortbow|Dagger
Sailor,Monk,Half-Orc,Quarterstaff|Dart|Unarmed Strike
Acolyte,Cleric,Elf,"Mace|Crossbow, Light"
Sage,Wizard,Gnome,Quarterstaff
Urchin,Bard,Goblin,Rapier|Dagger
Noble,Sorcerer,Dragonborn,"Crossbow, Light|Dagger"
Soldier,Fighter,Human,"Longsword|Crossbow, Light"
Sailor,Barbarian,Human,Greataxe|Handaxe|Javelin|Club
Soldier,Fighter,Custom,Longsword|Handaxe
Urchin,Fighter,Human,Longbow|Longbow|Rapier|Handaxe
Acolyte,Warlock,Aasimar,"Crossbow, Light|Dagger|Quarterstaff"
Folk Hero,Fighter,Gnome,"Crossbow, Light"
Criminal,Fighter,Half-Elf,Shortsword|Battleaxe
Criminal,Wizard,Human,Dagger
Soldier,Monk,Gnome,Quarterstaff|Dart|Unarmed Strike
Soldier,Fighter,Half-Elf,Longsword|Unarmed Strike|Dagger
Outlander,Druid,Gnome,None
Criminal,Rogue,Half-Elf,Rapier|Shortbow|Dagger
Sage,Wizard,Human,Dagger
Criminal,Rogue,Human,Shortsword|Dagger|Scimitar
Knight,Paladin,Human,Warhammer|Shortsword
Urchin,Rogue,Human,"Dagger|Scimitar|Crossbow, Light"
Acolyte,Cleric,Dwarf,"Mace|Crossbow, Light"
Outlander,Ranger,Tabaxi,Shortsword|Longbow
Soldier,Fighter,Tiefling,"Longsword|Crossbow, Light|Longsword"
Sailor,Rogue,Halfling,Rapier|Rapier|Shortbow
Knight,Cleric,Half-Orc,"Mace|Crossbow, Light"
Sailor,Bard,Halfling,Rapier|Scimitar
Entertainer,Bard,Elf,"Dagger|Crossbow, Light"
Knight,Paladin,Aasimar,Pike|Longsword|Javelin
Soldier,Fighter,Dwarf,"Whip|Crossbow, Light|Shortsword|Shortsword|Longbow|Rapier"
Soldier,Ranger,Human,Shortsword|Longbow|Dagger
Soldier,Barbarian,Goliath,Maul|Greatclub
Acolyte,Monk,Dwarf,Shortsword|Dart|Unarmed Strike
Outlander,Ranger,Aasimar,Shortsword|Longbow
Sage,Barbarian,Human,Whip|Quarterstaff|Sling
Charlatan,Sorcerer,Goblin,"Crossbow, Light|Dagger"
Noble,Cleric,Human,Mace|Quarterstaff
Charlatan,Sorcerer,Half-Elf,"Crossbow, Light|Dagger"
Guild Artisan,Fighter,Dwarf,Battleaxe
Acolyte,Warlock,Tiefling,"Crossbow, Light|Dagger"
Soldier,Paladin,Goliath,Greatsword|Javelin
Hermit,Druid,Firbolg,Scimitar
Folk Hero,Barbarian,Half-Orc,Greataxe|Handaxe|Javelin
Entertainer,Bard,Half-Elf,Rapier|Dagger
Outlander,Ranger,Elf,Shortsword|Longbow
Entertainer,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Criminal,Rogue,Halfling,Rapier|Shortbow|Dagger
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Heavy"
Entertainer,Bard,Halfling,Club|Dagger
Soldier,Paladin,Human,Longsword|Javelin
Entertainer,Bard,Tiefling,Rapier|Dagger
Folk Hero,Druid,Human,Shortbow|Scimitar
Outlander,Warlock,Tiefling,"Crossbow, Light|Dagger"
Charlatan,Bard,Dwarf,Rapier|Dagger
Urchin,Rogue,Gnome,Rapier|Shortbow|Dagger
Acolyte,Cleric,Dwarf,"Mace|Crossbow, Light"
Outlander,Druid,Halfling,Scimitar
Sage,Warlock,Dragonborn,"Crossbow, Light|Dagger"
Sage,Ranger,Elf,Shortsword|Longbow
Acolyte,Monk,Tiefling,Quarterstaff|Dart|Unarmed Strike
Folk Hero,Wizard,Tiefling,Quarterstaff
Soldier,Fighter,Human,"Longsword|Crossbow, Light|Longsword"
Noble,Sorcerer,Elf,"Crossbow, Light|Dagger"
Noble,Paladin,Human,Halberd|Net|Javelin
Charlatan,Bard,Half-Elf,Rapier|Dagger
Outlander,Rogue,Halfling,Rapier|Shortbow|Dagger
Hermit,Paladin,Human,Warhammer|Whip|Javelin
Urchin,Rogue,Human,Rapier|Shortbow|Dagger
Outlander,Druid,Tabaxi,Dart|Quarterstaff
Criminal,Rogue,Elf,Shortsword|Shortbow|Dagger
Acolyte,Warlock,Half-Elf,Sickle|Quarterstaff|Dagger
Sailor,Fighter,Dragonborn,"Rapier|Crossbow, Light"
Outlander,Paladin,Firbolg,Greataxe|Warhammer|Javelin
Criminal,Rogue,Human,Rapier|Shortbow|Dagger
Acolyte,Cleric,Elf,Quarterstaff|Handaxe
Entertainer,Bard,Half-Elf,Rapier|Dagger
Criminal,Rogue,Tiefling,Shortsword|Shortsword|Dagger
Soldier,Fighter,Half-Orc,"Crossbow, Light|Greatsword"
Sage,Warlock,Half-Elf,"Crossbow, Light|Dagger|Quarterstaff"
Hermit,Sorcerer,Aasimar,"Crossbow, Light|Dagger"
Folk Hero,Ranger,Elf,Shortsword|Longbow
Outlander,Ranger,Elf,Shortsword|Longbow|Handaxe|Dagger
Hermit,Rogue,Tabaxi,Rapier|Shortbow|Dagger|Scimitar|Net
Soldier,Ranger,Elf,Longbow|Rapier|Longsword
Soldier,Fighter,Dwarf,Greatsword|Whip|Warhammer|Handaxe|Longsword
Charlatan,Cleric,Goblin,"Mace|Dagger|Crossbow, Light"
Acolyte,Barbarian,Half-Orc,"Greataxe|Handaxe|Javelin|Crossbow, Heavy"
Knight,Fighter,Elf,"Crossbow, Light"
Soldier,Fighter,Elf,"Longsword|Crossbow, Light"
Hermit,Cleric,Half-Elf,"Mace|Crossbow, Light"
Charlatan,Warlock,Tiefling,"Crossbow, Light|Javelin|Dagger"
Criminal,Monk,Elf,Unarmed Strike|Quarterstaff|Shortsword
Urchin,Bard,Half-Elf,Shortbow|Dagger
Hermit,Cleric,Dragonborn,"Mace|Crossbow, Light"
Outlander,Fighter,Elf,"Greatsword|Longsword|Crossbow, Light"
Charlatan,Bard,Human,"Rapier|Dagger|Crossbow, Light"
Urchin,Ranger,Goblin,Shortbow|Dart|Dagger
Sailor,Barbarian,Human,Trident|Handaxe|Javelin
Hermit,Ranger,Half-Elf,Shortsword|Longbow
Acolyte,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Outlander,Sorcerer,Tiefling,"Crossbow, Light|Dagger"
Outlander,Druid,Firbolg,Scimitar
Outlander,Sorcerer,Aasimar,Dagger
Urchin,Ranger,Human,"Rapier|Crossbow, Heavy|Crossbow, hand"
Hermit,Monk,Tabaxi,Quarterstaff|Dart|Unarmed Strike
Hermit,Warlock,Aasimar,Dagger
Sailor,Fighter,Tiefling,Longsword|Flail
Folk Hero,Fighter,Halfling,Longbow|Shortsword|Shortsword
Entertainer,Bard,Tabaxi,Rapier|Dagger
Acolyte,Cleric,Dwarf,Warhammer
Criminal,Cleric,Human,"Mace|Crossbow, Light"
Criminal,Rogue,Elf,Shortsword|Shortbow|Dagger
Charlatan,Bard,Half-Elf,Rapier|Dagger|Sling|Quarterstaff
Charlatan,Rogue,Halfling,"Crossbow, Light|Shortsword|Dagger"
Charlatan,Warlock,Dragonborn,Spear|Mace|Dagger
Folk Hero,Rogue,Gnome,Rapier|Shortbow|Dagger
Sailor,Druid,Human,Scimitar
Criminal,Monk,Half-Orc,"Unarmed Strike|Crossbow, hand"
Criminal,Monk,Goblin,Shortsword|Dart|Unarmed Strike
Hermit,Warlock,Tiefling,Dagger|Dagger
Criminal,Fighter,Human,Longbow|Shortsword|Shortsword
Folk Hero,Monk,Halfling,Quarterstaff|Dart|Unarmed Strike
Entertainer,Warlock,Halfling,Club|Dagger
Soldier,Fighter,Aasimar,"Greatsword|Crossbow, Light"
Hermit,Druid,Elf,Scimitar
Acolyte,Monk,Elf,Quarterstaff|Dart|Unarmed Strike
Charlatan,Rogue,Genasi,Rapier|Shortbow|Dagger
Charlatan,Bard,Tiefling,Rapier|Dagger
Noble,Bard,Half-Elf,Longsword|Dagger|Quarterstaff
Urchin,Sorcerer,Half-Elf,Dagger
Soldier,Ranger,Tiefling,Shortsword|Longbow
Charlatan,Bard,Tiefling,Rapier|Dagger
Hermit,Cleric,Human,Mace|Quarterstaff
Acolyte,Paladin,Half-Orc,Halberd|Longsword|Javelin
Sage,Wizard,Elf,Quarterstaff
Criminal,Rogue,Halfling,Rapier|Shortsword|Shortbow|Dagger
Guild Artisan,Barbarian,Half-Orc,Greatsword|Handaxe
Folk Hero,Monk,Goliath,Unarmed Strike|Longsword|Longsword|Sling
Criminal,Rogue,Tiefling,Rapier|Shortbow|Dagger
Sage,Wizard,Halfling,Quarterstaff
Criminal,Ranger,Gnome,Shortsword|Longbow|Mace
Soldier,Monk,Human,Dart|Unarmed Strike
Sage,Wizard,Elf,Longsword|Longsword
Criminal,Wizard,Dragonborn,Quarterstaff
Urchin,Sorcerer,Tabaxi,"Crossbow, Light|Dagger"
Criminal,Rogue,Human,Dagger|Rapier
Knight,Paladin,Tabaxi,Greatsword|Pike|Javelin
Urchin,Sorcerer,Tiefling,Dagger|Dagger
Entertainer,Rogue,Human,Rapier|Shortsword|Dagger
Hermit,Rogue,Half-Elf,Dagger|Longbow|Dagger
Noble,Paladin,Elf,Warhammer
Sage,Wizard,Tiefling,Quarterstaff
Urchin,Wizard,Human,Quarterstaff
Entertainer,Wizard,Elf,Dagger
Entertainer,Paladin,Human,Longsword
Entertainer,Monk,Tabaxi,Sickle|Dart|Unarmed Strike
Entertainer,Rogue,Half-Orc,Shortsword|Shortbow|Dagger
Entertainer,Cleric,Half-Orc,Mace
Entertainer,Monk,Tabaxi,Shortsword|Dart|Unarmed Strike
Entertainer,Wizard,Elf,Quarterstaff
Entertainer,Barbarian,Tiefling,Greataxe|Handaxe|Javelin
Entertainer,Fighter,Human,Longbow|Shortsword|Battleaxe
Entertainer,Rogue,Elf,Shortsword|Shortbow|Dagger
Entertainer,Druid,Tabaxi,Quarterstaff|Scimitar
Entertainer,Paladin,Half-Orc,Greataxe
Entertainer,Ranger,Tiefling,Sickle|Quarterstaff|Longbow
Sage,Monk,Genasi,Shortsword|Dart|Unarmed Strike
Folk Hero,Barbarian,Half-Orc,Longsword|Handaxe|Javelin
Soldier,Barbarian,Goliath,Javelin|Greatsword
Hermit,Warlock,Gnome,Light hammer|Dagger
Folk Hero,Ranger,Half-Elf,Longbow|Shortsword|Longsword
Noble,Rogue,Elf,"Rapier|Shortbow|Dagger|Crossbow, hand"
Hermit,Druid,Elf,Quarterstaff|Dagger
Criminal,Warlock,Half-Elf,Dagger
Charlatan,Warlock,Half-Elf,"Crossbow, Light|Dagger|Handaxe"
Folk Hero,Wizard,Halfling,Quarterstaff|Sling
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Entertainer,Cleric,Human,"Warhammer|Crossbow, Light|Maul"
Knight,Paladin,Warforged,None
Outlander,Cleric,Tabaxi,"Crossbow, Light|Shortsword"
Sailor,Barbarian,Gnome,Warhammer|Sickle|Javelin
Acolyte,Paladin,Dragonborn,Flail|Javelin|Longsword
Noble,Fighter,Human,Greataxe|Javelin
Noble,Paladin,Human,Longsword|Javelin
Charlatan,Rogue,Human,Rapier|Shortsword|Dagger
Noble,Fighter,Human,"Longsword|Shortsword|Crossbow, Light"
Soldier,Rogue,Human,Rapier|Shortbow|Dagger
Soldier,Fighter,Human,"Warhammer|Crossbow, Light"
Folk Hero,Bard,Elf,Rapier|Dagger
Entertainer,Bard,Elf,"Rapier|Dagger|Crossbow, hand"
Hermit,Ranger,Human,Shortsword|Longbow
Entertainer,Wizard,Genasi,Dagger
Hermit,Wizard,Human,Quarterstaff
Knight,Barbarian,Dragonborn,Greatsword|Unarmed Strike|Javelin
Charlatan,Rogue,Half-Elf,Shortsword|Shortbow|Dagger
Noble,Bard,Tiefling,Rapier|Dagger|Shortsword|Trident
Urchin,Monk,Halfling,Spear|Dart|Unarmed Strike|Warhammer
Outlander,Druid,Human,Quarterstaff|Handaxe
Noble,Cleric,Elf,"Mace|Crossbow, Light"
Sailor,Paladin,Dragonborn,Pike|Javelin|Battleaxe
Soldier,Fighter,Human,None
Entertainer,Paladin,Aasimar,Greatsword|Javelin
Soldier,Barbarian,Firbolg,Maul|Handaxe|Javelin
Outlander,Barbarian,Turtle,Greataxe|Handaxe|Javelin
Guild Artisan,Fighter,Dragonborn,Handaxe|Dagger
Criminal,Rogue,Dwarf,Shortsword|Shortbow|Dagger
Acolyte,Cleric,Human,Mace|Sling
Charlatan,Warlock,Human,"Crossbow, Light|Dagger"
Criminal,Rogue,Halfling,Shortsword|Shortbow|Dagger
Outlander,Druid,Halfling,Spear|Scimitar
Folk Hero,Cleric,Human,"Mace|Crossbow, Light"
Urchin,Sorcerer,Tiefling,"Crossbow, Light|Dagger"
Knight,Paladin,Elf,Battleaxe|Javelin
Outlander,Barbarian,Half-Orc,Greataxe|Javelin|Light hammer|Unarmed Strike
Acolyte,Paladin,Tiefling,Lance|Javelin|Greatsword|Longsword|Longsword|Longbow
Soldier,Barbarian,Human,Greataxe|Handaxe|Javelin
Acolyte,Paladin,Tiefling,Lance|Javelin
Hermit,Sorcerer,Gnome,Quarterstaff|Dagger
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Sage,Wizard,Elf,Quarterstaff
Criminal,Druid,Gnome,None
Urchin,Bard,Dragonborn,Longsword|Dagger
Noble,Monk,Tabaxi,Quarterstaff|Dart|Unarmed Strike
Hermit,Barbarian,Turtle,Greataxe|Handaxe|Javelin
Acolyte,Monk,Aasimar,Quarterstaff|Dart|Unarmed Strike
Urchin,Druid,Dwarf,Quarterstaff|Scimitar
Sailor,Cleric,Dwarf,"Mace|Crossbow, Light"
Guild Artisan,Rogue,Halfling,"Rapier|Dagger|Crossbow, hand"
Entertainer,Warlock,Half-Elf,Dagger|Longbow
Hermit,Warlock,Half-Orc,Quarterstaff|Dagger
Outlander,Barbarian,Dragonborn,Greataxe|Handaxe|Javelin
Hermit,Warlock,Tiefling,Dagger|Quarterstaff
Acolyte,Cleric,Human,"Mace|Crossbow, Light"
Soldier,Fighter,Dwarf,Warhammer|Handaxe|Spear
Urchin,Ranger,Human,Shortsword|Longbow
Folk Hero,Fighter,Halfling,Shortsword|Handaxe
Hermit,Warlock,Half-Elf,"Crossbow, Light|War pick"
Hermit,Warlock,Half-Elf,"Crossbow, Light|Spear"
Folk Hero,Ranger,Human,Shortsword|Longbow
Sailor,Fighter,Turtle,"Crossbow, Heavy|Greataxe|Crossbow, Light"
Folk Hero,Bard,Human,Longsword|Dagger
Noble,Barbarian,Human,Greataxe|Handaxe|Javelin
Outlander,Ranger,Tiefling,Shortsword|Longbow
Entertainer,Fighter,Human,"Longbow|Javelin|Quarterstaff|Whip|Greatclub|Club|Crossbow, hand"
Entertainer,Bard,Human,Unarmed Strike|Dagger
Criminal,Rogue,Halfling,Shortsword|Shortsword|Dagger|Dagger
Sailor,Cleric,Turtle,"Mace|Crossbow, Light"
Folk Hero,Cleric,Turtle,"Warhammer|Crossbow, Light"
Sailor,Fighter,Human,"Greatsword|Battleaxe|Crossbow, Light"
Acolyte,Paladin,Dwarf,Battleaxe|Battleaxe|Warhammer|Javelin|Light hammer|Mace
Charlatan,Rogue,Elf,Rapier|Shortbow|Dagger|Dagger|Dagger
Outlander,Fighter,Turtle,"Crossbow, Heavy|Crossbow, Light"
Outlander,Fighter,Half-Orc,"Battleaxe|Crossbow, Light"
Outlander,Barbarian,Elf,Greatsword|Unarmed Strike|Javelin
Criminal,Paladin,Tiefling,Longsword
Noble,Wizard,Half-Elf,Dagger
Knight,Fighter,Human,Longsword
Outlander,Ranger,Genasi,Shortsword|Longbow
Criminal,Rogue,Elf,Shortsword|Dagger
Knight,Fighter,Human,Greatsword|Handaxe
Knight,Paladin,Human,Longsword|Flail
Charlatan,Rogue,Human,"Shortsword|Shortsword|Dagger|Crossbow, Light"
Acolyte,Paladin,Human,Greatsword|Battleaxe|Javelin
Knight,Paladin,Dwarf,Halberd|Warhammer|Javelin
Soldier,Barbarian,Dwarf,Battleaxe|Handaxe|Javelin
Sailor,Monk,Human,Quarterstaff|Dart|Unarmed Strike
Guild Artisan,Barbarian,Goliath,Greataxe|Handaxe|Javelin|Battleaxe|Battleaxe|Maul
Acolyte,Paladin,Dragonborn,Warhammer|Javelin
Entertainer,Bard,Elf,"Crossbow, Light|Dagger"
Criminal,Cleric,Human,Mace|Javelin|Warhammer
Outlander,Rogue,Elf,Rapier|Shortbow|Dagger
Outlander,Barbarian,Dwarf,Battleaxe|Javelin|Warhammer
Outlander,Barbarian,Human,Battleaxe|Handaxe|Javelin
Outlander,Fighter,Elf,"Longbow|Crossbow, Light"
Entertainer,Warlock,Tiefling,"Crossbow, Light|Dagger"
Charlatan,Rogue,Halfling,Shortsword|Shortsword|Dagger
Sailor,Fighter,Half-Orc,"Battleaxe|Crossbow, Light"
Soldier,Barbarian,Dragonborn,Greataxe|Greatsword|Spear
Outlander,Cleric,Goblin,"Warhammer|Crossbow, Light"
Outlander,Bard,Goblin,Rapier|Dagger
Criminal,Rogue,Goblin,Shortsword|Shortbow|Dagger
Outlander,Druid,Goblin,Scimitar
Outlander,Ranger,Goblin,Shortsword|Longbow
Outlander,Paladin,Goblin,Battleaxe|Javelin
Outlander,Fighter,Goblin,"Crossbow, Light"
Folk Hero,Cleric,Dwarf,"Warhammer|Crossbow, Light"
Acolyte,Paladin,Half-Orc,Javelin|Halberd
Outlander,Monk,Human,Shortsword|Dart|Unarmed Strike
Sailor,Fighter,Human,"Scimitar|Scimitar|Crossbow, Light"
Outlander,Paladin,Half-Elf,Greatsword|Longbow|Longsword
Sage,Sorcerer,Human,Dagger|Quarterstaff
Charlatan,Rogue,Half-Elf,Shortsword|Shortbow|Dagger
Folk Hero,Barbarian,Human,Greataxe|Handaxe|Javelin
Hermit,Monk,Tiefling,Dart|Unarmed Strike
